번호,항목,내용,담당,기한,상태
1,마을잔치 시간,금요일 점심(우선) vs 저녁 — 목사님 협의 확정,장재휴(팀장),목사님 통화,미시작
2,농활 규모·시간,몇 가정·몇 명 분량인지(30/60명?) 시작·종료 시각,장재휴 ↔ 현지,답사 전,미시작
3,마을잔치 인원·시간,예상 참석 어르신 수(약 20명?) 적정 시간대,장재휴 ↔ 목사님,답사 전,미시작
4,60명 수용 식당,칠성면/괴산면 조별(10명) 식당 5곳 분산·예약,행정·안전 TF,2차 답사(7/3),미시작
5,공방 체험,종류·소요시간·비용·예약 인원(지역 청년회 연계),활동 TF,답사 시,미시작
6,토요 미귀가 학생 명단,토~주일 남는 학생 6~7명 명단·인계 방법,곽 목사님/총무,명단 확정 시,미시작
7,숙소 사용 허가·실측,본당·마을회관 수용·화장실·냉방·야간 동선,행정·안전 TF,2차 답사,미시작
8,지역사랑상품권,괴산군 상품권 구매 가능 여부·금액,회계(장윤희),답사 전,미시작
9,하은 참가 여부,연락 두절 상태 최종 참가 확인,장재휴/한성모,출발 전,미시작
10,TF 리더·구성,6/19 공지 → 6/21 확정. 조리팀 자원 모집 포함,본부팀,6/21,진행중
11,청소도구 택배,품목 확정 후 현지로 사전 발송,현장봉사 TF,출발 전,미시작
